id,app_id,imei,iccid,packet_number,data_send_time,date_id,measure,voltage,rssi,network
6495831,map16-uu-ultrasonic-live-4G,860548046674393,8942310220000537708F,29,"2021-01-26 08:04:59","2021-01-26 08:02:41",2048,3.63,8,HSPA+TE
6495832,map16-uu-ultrasonic-live-4G,860548046674393,8942310220000537708F,30,"2021-01-26 08:04:59","2021-01-26 08:04:41",2055,3.63,8,HSPA+TE
6495860,map16-uu-ultrasonic-live-4G,860548047916801,8942310220000886543F,28,"2021-01-26 08:06:35","2021-01-26 08:02:17",355,3.62,19,"FDD LTE"
6495861,map16-uu-ultrasonic-live-4G,860548047916801,8942310220000886543F,29,"2021-01-26 08:06:35","2021-01-26 08:04:17",354,3.62,19,"FDD LTE"
6495862,map16-uu-ultrasonic-live-4G,860548047916801,8942310220000886543F,30,"2021-01-26 08:06:35","2021-01-26 08:06:17",356,3.62,19,"FDD LTE"
6495890,map16-uu-ultrasonic-live-4G,860548047498065,8942310220000886428F,28,"2021-01-26 08:06:37","2021-01-26 08:02:19",1281,3.62,29,"FDD LTE"
6495891,map16-uu-ultrasonic-live-4G,860548047498065,8942310220000886428F,29,"2021-01-26 08:06:37","2021-01-26 08:04:19",1277,3.62,29,"FDD LTE"
6495892,map16-uu-ultrasonic-live-4G,860548047498065,8942310220000886428F,30,"2021-01-26 08:06:37","2021-01-26 08:06:19",1280,3.62,29,"FDD LTE"
6495920,map16-uu-ultrasonic-live-4G,860548046695307,8942310220000537898F,28,"2021-01-26 08:06:46","2021-01-26 08:02:28",1529,3.62,2,HSPA+TE
6495921,map16-uu-ultrasonic-live-4G,860548046695307,8942310220000537898F,29,"2021-01-26 08:06:46","2021-01-26 08:04:28",1645,3.62,2,HSPA+TE
6495922,map16-uu-ultrasonic-live-4G,860548046695307,8942310220000537898F,30,"2021-01-26 08:06:46","2021-01-26 08:06:28",1532,3.62,2,HSPA+TE
6495950,map16-uu-ultrasonic-live-4G,860548046701360,8942310220000537864F,28,"2021-01-26 08:07:13","2021-01-26 08:02:55",1605,3.63,2,HSPA+TE
6495951,map16-uu-ultrasonic-live-4G,860548046701360,8942310220000537864F,29,"2021-01-26 08:07:13","2021-01-26 08:04:55",1608,3.63,2,HSPA+TE
6495952,map16-uu-ultrasonic-live-4G,860548046701360,8942310220000537864F,30,"2021-01-26 08:07:13","2021-01-26 08:06:55",1606,3.63,2,HSPA+TE
6495979,map16-uu-ultrasonic-live-4G,860548046689201,8942310220000537559F,27,"2021-01-26 08:08:06","2021-01-26 08:01:48",2943,3.64,15,"FDD LTE"
6495980,map16-uu-ultrasonic-live-4G,860548046689201,8942310220000537559F,28,"2021-01-26 08:08:06","2021-01-26 08:03:48",2943,3.64,15,"FDD LTE"
6495981,map16-uu-ultrasonic-live-4G,860548046689201,8942310220000537559F,29,"2021-01-26 08:08:06","2021-01-26 08:05:48",2943,3.64,15,"FDD LTE"
6495982,map16-uu-ultrasonic-live-4G,860548046689201,8942310220000537559F,30,"2021-01-26 08:08:06","2021-01-26 08:07:48",2946,3.64,15,"FDD LTE"
6496009,map16-uu-ultrasonic-live-4G,860548046695976,8942310220000538474F,27,"2021-01-26 08:08:08","2021-01-26 08:01:50",296,3.63,9,HSPA+TE
6496010,map16-uu-ultrasonic-live-4G,860548046695976,8942310220000538474F,28,"2021-01-26 08:08:08","2021-01-26 08:03:50",300,3.63,9,HSPA+TE
6496011,map16-uu-ultrasonic-live-4G,860548046695976,8942310220000538474F,29,"2021-01-26 08:08:08","2021-01-26 08:05:50",296,3.63,9,HSPA+TE
6496012,map16-uu-ultrasonic-live-4G,860548046695976,8942310220000538474F,30,"2021-01-26 08:08:08","2021-01-26 08:07:50",300,3.63,9,HSPA+TE
6496039,map16-uu-ultrasonic-live-4G,860548046699093,8942310220000537781F,27,"2021-01-26 08:08:32","2021-01-26 08:02:14",1646,3.65,7,HSPA+
6496040,map16-uu-ultrasonic-live-4G,860548046699093,8942310220000537781F,28,"2021-01-26 08:08:32","2021-01-26 08:04:14",1849,3.65,7,HSPA+
6496041,map16-uu-ultrasonic-live-4G,860548046699093,8942310220000537781F,29,"2021-01-26 08:08:32","2021-01-26 08:06:14",1644,3.65,7,HSPA+
6496042,map16-uu-ultrasonic-live-4G,860548046699093,8942310220000537781F,30,"2021-01-26 08:08:32","2021-01-26 08:08:14",1650,3.65,7,HSPA+
6496069,map16-uu-ultrasonic-live-4G,860548046708357,8942310220000538136F,27,"2021-01-26 08:09:03","2021-01-26 08:02:45",4044,3.64,3,HSPA+TE
6496070,map16-uu-ultrasonic-live-4G,860548046708357,8942310220000538136F,28,"2021-01-26 08:09:03","2021-01-26 08:04:45",1574,3.64,3,HSPA+TE
6496071,map16-uu-ultrasonic-live-4G,860548046708357,8942310220000538136F,29,"2021-01-26 08:09:03","2021-01-26 08:06:45",4045,3.64,3,HSPA+TE
6496072,map16-uu-ultrasonic-live-4G,860548046708357,8942310220000538136F,30,"2021-01-26 08:09:03","2021-01-26 08:08:45",948,3.64,3,HSPA+TE
6496099,map16-uu-ultrasonic-live-4G,860548046677727,8942310220000897789F,27,"2021-01-26 08:09:05","2021-01-26 08:02:47",2332,3.6,0,HSPA+TE
6496100,map16-uu-ultrasonic-live-4G,860548046677727,8942310220000897789F,28,"2021-01-26 08:09:05","2021-01-26 08:04:47",2336,3.6,0,HSPA+TE
6496101,map16-uu-ultrasonic-live-4G,860548046677727,8942310220000897789F,29,"2021-01-26 08:09:05","2021-01-26 08:06:47",2342,3.6,0,HSPA+TE
6496102,map16-uu-ultrasonic-live-4G,860548046677727,8942310220000897789F,30,"2021-01-26 08:09:05","2021-01-26 08:08:47",2361,3.6,0,HSPA+TE
6496128,map16-uu-ultrasonic-live-4G,860548046687676,8942310220000897896F,26,"2021-01-26 08:09:53","2021-01-26 08:01:35",4955,3.62,28,"FDD LTE"
6496129,map16-uu-ultrasonic-live-4G,860548046687676,8942310220000897896F,27,"2021-01-26 08:09:53","2021-01-26 08:03:35",4956,3.62,28,"FDD LTE"
6496130,map16-uu-ultrasonic-live-4G,860548046687676,8942310220000897896F,28,"2021-01-26 08:09:53","2021-01-26 08:05:35",4959,3.62,28,"FDD LTE"
6496131,map16-uu-ultrasonic-live-4G,860548046687676,8942310220000897896F,29,"2021-01-26 08:09:53","2021-01-26 08:07:35",4956,3.62,28,"FDD LTE"
6496132,map16-uu-ultrasonic-live-4G,860548046687676,8942310220000897896F,30,"2021-01-26 08:09:53","2021-01-26 08:09:35",4956,3.62,28,"FDD LTE"
6496158,map16-uu-ultrasonic-live-4G,860548046671720,8942310220000538391F,26,"2021-01-26 08:10:45","2021-01-26 08:02:27",2243,3.6,12,HSPA+TE
6496159,map16-uu-ultrasonic-live-4G,860548046671720,8942310220000538391F,27,"2021-01-26 08:10:45","2021-01-26 08:04:27",4940,3.6,12,HSPA+TE
6496160,map16-uu-ultrasonic-live-4G,860548046671720,8942310220000538391F,28,"2021-01-26 08:10:45","2021-01-26 08:06:27",4942,3.6,12,HSPA+TE
6496161,map16-uu-ultrasonic-live-4G,860548046671720,8942310220000538391F,29,"2021-01-26 08:10:45","2021-01-26 08:08:27",2232,3.6,12,HSPA+TE
6496162,map16-uu-ultrasonic-live-4G,860548046671720,8942310220000538391F,30,"2021-01-26 08:10:45","2021-01-26 08:10:27",2230,3.6,12,HSPA+TE
6496187,map16-uu-ultrasonic-live-4G,860548047917023,8942310220000897631F,25,"2021-01-26 08:11:32","2021-01-26 08:01:14",2233,3.58,14,"FDD LTE"
6496188,map16-uu-ultrasonic-live-4G,860548047917023,8942310220000897631F,26,"2021-01-26 08:11:32","2021-01-26 08:03:14",2247,3.58,14,"FDD LTE"
6496189,map16-uu-ultrasonic-live-4G,860548047917023,8942310220000897631F,27,"2021-01-26 08:11:32","2021-01-26 08:05:14",2241,3.58,14,"FDD LTE"
6496190,map16-uu-ultrasonic-live-4G,860548047917023,8942310220000897631F,28,"2021-01-26 08:11:32","2021-01-26 08:07:14",2237,3.59,14,"FDD LTE"
6496191,map16-uu-ultrasonic-live-4G,860548047917023,8942310220000897631F,29,"2021-01-26 08:11:32","2021-01-26 08:09:14",2259,3.59,14,"FDD LTE"
6496192,map16-uu-ultrasonic-live-4G,860548047917023,8942310220000897631F,30,"2021-01-26 08:11:32","2021-01-26 08:11:14",2242,3.59,14,"FDD LTE"
6496217,map16-uu-ultrasonic-live-4G,860548046709611,8942310220000538284F,25,"2021-01-26 08:12:14","2021-01-26 08:01:56",4945,3.62,20,"FDD LTE"
6496218,map16-uu-ultrasonic-live-4G,860548046709611,8942310220000538284F,26,"2021-01-26 08:12:14","2021-01-26 08:03:56",4945,3.62,20,"FDD LTE"
6496219,map16-uu-ultrasonic-live-4G,860548046709611,8942310220000538284F,27,"2021-01-26 08:12:14","2021-01-26 08:05:56",4944,3.62,20,"FDD LTE"
6496220,map16-uu-ultrasonic-live-4G,860548046709611,8942310220000538284F,28,"2021-01-26 08:12:14","2021-01-26 08:07:56",4944,3.62,20,"FDD LTE"
6496221,map16-uu-ultrasonic-live-4G,860548046709611,8942310220000538284F,29,"2021-01-26 08:12:14","2021-01-26 08:09:56",4946,3.62,20,"FDD LTE"
6496222,map16-uu-ultrasonic-live-4G,860548046709611,8942310220000538284F,30,"2021-01-26 08:12:14","2021-01-26 08:11:56",4946,3.62,20,"FDD LTE"
6496247,map16-uu-ultrasonic-live-4G,860548046673353,8942310220000897649F,25,"2021-01-26 08:12:21","2021-01-26 08:02:03",692,3.62,5,HSPA+TE
6496248,map16-uu-ultrasonic-live-4G,860548046673353,8942310220000897649F,26,"2021-01-26 08:12:21","2021-01-26 08:04:03",702,3.62,5,HSPA+TE
6496249,map16-uu-ultrasonic-live-4G,860548046673353,8942310220000897649F,27,"2021-01-26 08:12:21","2021-01-26 08:06:03",706,3.62,5,HSPA+TE
6496250,map16-uu-ultrasonic-live-4G,860548046673353,8942310220000897649F,28,"2021-01-26 08:12:21","2021-01-26 08:08:03",688,3.62,5,HSPA+TE
6496251,map16-uu-ultrasonic-live-4G,860548046673353,8942310220000897649F,29,"2021-01-26 08:12:21","2021-01-26 08:10:03",679,3.62,5,HSPA+TE
6496252,map16-uu-ultrasonic-live-4G,860548046673353,8942310220000897649F,30,"2021-01-26 08:12:21","2021-01-26 08:12:03",697,3.62,5,HSPA+TE
6496277,map16-uu-ultrasonic-live-4G,860548046704380,8942310220000897839F,25,"2021-01-26 08:12:44","2021-01-26 08:02:26",932,3.62,14,"FDD LTE"
6496278,map16-uu-ultrasonic-live-4G,860548046704380,8942310220000897839F,26,"2021-01-26 08:12:44","2021-01-26 08:04:26",931,3.62,14,"FDD LTE"
6496279,map16-uu-ultrasonic-live-4G,860548046704380,8942310220000897839F,27,"2021-01-26 08:12:44","2021-01-26 08:06:26",926,3.62,14,"FDD LTE"
6496280,map16-uu-ultrasonic-live-4G,860548046704380,8942310220000897839F,28,"2021-01-26 08:12:44","2021-01-26 08:08:26",932,3.62,14,"FDD LTE"
6496281,map16-uu-ultrasonic-live-4G,860548046704380,8942310220000897839F,29,"2021-01-26 08:12:44","2021-01-26 08:10:26",934,3.62,14,"FDD LTE"
6496282,map16-uu-ultrasonic-live-4G,860548046704380,8942310220000897839F,30,"2021-01-26 08:12:44","2021-01-26 08:12:26",934,3.62,14,"FDD LTE"
6496307,map16-uu-ultrasonic-live-4G,860548047916611,8942310220000886816F,25,"2021-01-26 08:13:06","2021-01-26 08:02:48",960,3.64,12,"FDD LTE"
6496308,map16-uu-ultrasonic-live-4G,860548047916611,8942310220000886816F,26,"2021-01-26 08:13:06","2021-01-26 08:04:48",955,3.65,12,"FDD LTE"
6496309,map16-uu-ultrasonic-live-4G,860548047916611,8942310220000886816F,27,"2021-01-26 08:13:06","2021-01-26 08:06:48",956,3.65,12,"FDD LTE"
6496310,map16-uu-ultrasonic-live-4G,860548047916611,8942310220000886816F,28,"2021-01-26 08:13:06","2021-01-26 08:08:48",953,3.65,12,"FDD LTE"
6496311,map16-uu-ultrasonic-live-4G,860548047916611,8942310220000886816F,29,"2021-01-26 08:13:06","2021-01-26 08:10:48",957,3.65,12,"FDD LTE"
6496312,map16-uu-ultrasonic-live-4G,860548047916611,8942310220000886816F,30,"2021-01-26 08:13:06","2021-01-26 08:12:48",954,3.65,12,"FDD LTE"
6496336,map16-uu-ultrasonic-live-4G,860548047916827,8942310220000886808F,24,"2021-01-26 08:13:52","2021-01-26 08:01:34",2177,3.62,8,HSPA+TE
6496337,map16-uu-ultrasonic-live-4G,860548047916827,8942310220000886808F,25,"2021-01-26 08:13:52","2021-01-26 08:03:34",2226,3.62,8,HSPA+TE
6496338,map16-uu-ultrasonic-live-4G,860548047916827,8942310220000886808F,26,"2021-01-26 08:13:52","2021-01-26 08:05:34",2221,3.62,8,HSPA+TE
6496339,map16-uu-ultrasonic-live-4G,860548047916827,8942310220000886808F,27,"2021-01-26 08:13:52","2021-01-26 08:07:34",2232,3.62,8,HSPA+TE
6496340,map16-uu-ultrasonic-live-4G,860548047916827,8942310220000886808F,28,"2021-01-26 08:13:52","2021-01-26 08:09:34",2142,3.62,8,HSPA+TE
6496341,map16-uu-ultrasonic-live-4G,860548047916827,8942310220000886808F,29,"2021-01-26 08:13:52","2021-01-26 08:11:34",2143,3.62,8,HSPA+TE
6496342,map16-uu-ultrasonic-live-4G,860548047916827,8942310220000886808F,30,"2021-01-26 08:13:52","2021-01-26 08:13:34",2134,3.62,8,HSPA+TE
6496366,map16-uu-ultrasonic-live-4G,860548045319313,8942310220000897961F,24,"2021-01-26 08:14:04","2021-01-26 08:01:46",1471,3.62,3,HSPA+TE
6496367,map16-uu-ultrasonic-live-4G,860548045319313,8942310220000897961F,25,"2021-01-26 08:14:04","2021-01-26 08:03:46",1468,3.62,3,HSPA+TE
6496368,map16-uu-ultrasonic-live-4G,860548045319313,8942310220000897961F,26,"2021-01-26 08:14:04","2021-01-26 08:05:46",1442,3.62,3,HSPA+TE
6496369,map16-uu-ultrasonic-live-4G,860548045319313,8942310220000897961F,27,"2021-01-26 08:14:04","2021-01-26 08:07:46",1542,3.62,3,HSPA+TE
6496370,map16-uu-ultrasonic-live-4G,860548045319313,8942310220000897961F,28,"2021-01-26 08:14:04","2021-01-26 08:09:46",1464,3.62,3,HSPA+TE
6496371,map16-uu-ultrasonic-live-4G,860548045319313,8942310220000897961F,29,"2021-01-26 08:14:04","2021-01-26 08:11:46",1469,3.62,3,HSPA+TE
6496372,map16-uu-ultrasonic-live-4G,860548045319313,8942310220000897961F,30,"2021-01-26 08:14:04","2021-01-26 08:13:46",1543,3.63,3,HSPA+TE
6496396,map16-uu-ultrasonic-live-4G,860548046674013,8942310220000537757F,24,"2021-01-26 08:14:47","2021-01-26 08:02:29",618,3.63,18,"FDD LTE"
6496397,map16-uu-ultrasonic-live-4G,860548046674013,8942310220000537757F,25,"2021-01-26 08:14:47","2021-01-26 08:04:29",608,3.63,18,"FDD LTE"
6496398,map16-uu-ultrasonic-live-4G,860548046674013,8942310220000537757F,26,"2021-01-26 08:14:47","2021-01-26 08:06:29",625,3.63,18,"FDD LTE"
6496399,map16-uu-ultrasonic-live-4G,860548046674013,8942310220000537757F,27,"2021-01-26 08:14:47","2021-01-26 08:08:29",610,3.63,18,"FDD LTE"
6496400,map16-uu-ultrasonic-live-4G,860548046674013,8942310220000537757F,28,"2021-01-26 08:14:47","2021-01-26 08:10:29",619,3.63,18,"FDD LTE"
6496401,map16-uu-ultrasonic-live-4G,860548046674013,8942310220000537757F,29,"2021-01-26 08:14:47","2021-01-26 08:12:29",620,3.63,18,"FDD LTE"
6496402,map16-uu-ultrasonic-live-4G,860548046674013,8942310220000537757F,30,"2021-01-26 08:14:47","2021-01-26 08:14:29",624,3.63,18,"FDD LTE"
6496426,map16-uu-ultrasonic-live-4G,860548046671340,8942310220000537807F,24,"2021-01-26 08:14:51","2021-01-26 08:02:33",4368,3.64,12,"FDD LTE"
6496427,map16-uu-ultrasonic-live-4G,860548046671340,8942310220000537807F,25,"2021-01-26 08:14:51","2021-01-26 08:04:33",4917,3.64,12,"FDD LTE"
6496428,map16-uu-ultrasonic-live-4G,860548046671340,8942310220000537807F,26,"2021-01-26 08:14:51","2021-01-26 08:06:33",4919,3.64,12,"FDD LTE"
6496429,map16-uu-ultrasonic-live-4G,860548046671340,8942310220000537807F,27,"2021-01-26 08:14:51","2021-01-26 08:08:33",4915,3.65,12,"FDD LTE"
6496430,map16-uu-ultrasonic-live-4G,860548046671340,8942310220000537807F,28,"2021-01-26 08:14:51","2021-01-26 08:10:33",4916,3.65,12,"FDD LTE"
6496431,map16-uu-ultrasonic-live-4G,860548046671340,8942310220000537807F,29,"2021-01-26 08:14:51","2021-01-26 08:12:33",4914,3.65,12,"FDD LTE"
6496432,map16-uu-ultrasonic-live-4G,860548046671340,8942310220000537807F,30,"2021-01-26 08:14:51","2021-01-26 08:14:33",4917,3.65,12,"FDD LTE"
6496456,map16-uu-ultrasonic-live-4G,860548047917288,8942310220000886832F,24,"2021-01-26 08:15:03","2021-01-26 08:02:45",794,3.6,3,HSPA+TE
6496457,map16-uu-ultrasonic-live-4G,860548047917288,8942310220000886832F,25,"2021-01-26 08:15:03","2021-01-26 08:04:45",801,3.6,3,HSPA+TE
6496458,map16-uu-ultrasonic-live-4G,860548047917288,8942310220000886832F,26,"2021-01-26 08:15:03","2021-01-26 08:06:45",794,3.6,3,HSPA+TE
6496459,map16-uu-ultrasonic-live-4G,860548047917288,8942310220000886832F,27,"2021-01-26 08:15:03","2021-01-26 08:08:45",798,3.61,3,HSPA+TE
6496460,map16-uu-ultrasonic-live-4G,860548047917288,8942310220000886832F,28,"2021-01-26 08:15:03","2021-01-26 08:10:45",802,3.61,3,HSPA+TE
6496461,map16-uu-ultrasonic-live-4G,860548047917288,8942310220000886832F,29,"2021-01-26 08:15:03","2021-01-26 08:12:45",797,3.61,3,HSPA+TE
6496462,map16-uu-ultrasonic-live-4G,860548047917288,8942310220000886832F,30,"2021-01-26 08:15:03","2021-01-26 08:14:45",796,3.61,3,HSPA+TE
6496486,map16-uu-ultrasonic-live-4G,860548046708803,8942310220000898001F,24,"2021-01-26 08:15:05","2021-01-26 08:02:47",885,3.61,1,WCDMA
6496487,map16-uu-ultrasonic-live-4G,860548046708803,8942310220000898001F,25,"2021-01-26 08:15:05","2021-01-26 08:04:47",895,3.61,1,WCDMA
6496488,map16-uu-ultrasonic-live-4G,860548046708803,8942310220000898001F,26,"2021-01-26 08:15:05","2021-01-26 08:06:47",923,3.61,1,WCDMA
6496489,map16-uu-ultrasonic-live-4G,860548046708803,8942310220000898001F,27,"2021-01-26 08:15:05","2021-01-26 08:08:47",892,3.61,1,WCDMA
6496490,map16-uu-ultrasonic-live-4G,860548046708803,8942310220000898001F,28,"2021-01-26 08:15:05","2021-01-26 08:10:47",890,3.61,1,WCDMA
6496491,map16-uu-ultrasonic-live-4G,860548046708803,8942310220000898001F,29,"2021-01-26 08:15:05","2021-01-26 08:12:47",887,3.62,1,WCDMA
6496492,map16-uu-ultrasonic-live-4G,860548046708803,8942310220000898001F,30,"2021-01-26 08:15:05","2021-01-26 08:14:47",859,3.62,1,WCDMA
6496516,map16-uu-ultrasonic-live-4G,860548046709447,8942310220000538193F,24,"2021-01-26 08:15:17","2021-01-26 08:02:59",4942,3.64,12,"FDD LTE"
6496517,map16-uu-ultrasonic-live-4G,860548046709447,8942310220000538193F,25,"2021-01-26 08:15:17","2021-01-26 08:04:59",3719,3.64,12,"FDD LTE"
6496518,map16-uu-ultrasonic-live-4G,860548046709447,8942310220000538193F,26,"2021-01-26 08:15:17","2021-01-26 08:06:59",2501,3.64,12,"FDD LTE"
6496519,map16-uu-ultrasonic-live-4G,860548046709447,8942310220000538193F,27,"2021-01-26 08:15:17","2021-01-26 08:08:59",2497,3.64,12,"FDD LTE"
6496520,map16-uu-ultrasonic-live-4G,860548046709447,8942310220000538193F,28,"2021-01-26 08:15:17","2021-01-26 08:10:59",4949,3.64,12,"FDD LTE"
6496521,map16-uu-ultrasonic-live-4G,860548046709447,8942310220000538193F,29,"2021-01-26 08:15:17","2021-01-26 08:12:59",3725,3.64,12,"FDD LTE"
6496522,map16-uu-ultrasonic-live-4G,860548046709447,8942310220000538193F,30,"2021-01-26 08:15:17","2021-01-26 08:14:59",1415,3.64,12,"FDD LTE"
6496545,map16-uu-ultrasonic-live-4G,860548047916868,8942310220000886824F,23,"2021-01-26 08:15:30","2021-01-26 08:01:12",4967,3.62,17,"FDD LTE"
6496546,map16-uu-ultrasonic-live-4G,860548047916868,8942310220000886824F,24,"2021-01-26 08:15:30","2021-01-26 08:03:12",4968,3.62,17,"FDD LTE"
6496547,map16-uu-ultrasonic-live-4G,860548047916868,8942310220000886824F,25,"2021-01-26 08:15:30","2021-01-26 08:05:12",4967,3.63,17,"FDD LTE"
6496548,map16-uu-ultrasonic-live-4G,860548047916868,8942310220000886824F,26,"2021-01-26 08:15:30","2021-01-26 08:07:12",4966,3.63,17,"FDD LTE"
6496549,map16-uu-ultrasonic-live-4G,860548047916868,8942310220000886824F,27,"2021-01-26 08:15:30","2021-01-26 08:09:12",4968,3.63,17,"FDD LTE"
6496550,map16-uu-ultrasonic-live-4G,860548047916868,8942310220000886824F,28,"2021-01-26 08:15:30","2021-01-26 08:11:12",4965,3.63,17,"FDD LTE"
6496551,map16-uu-ultrasonic-live-4G,860548047916868,8942310220000886824F,29,"2021-01-26 08:15:30","2021-01-26 08:13:12",4968,3.63,17,"FDD LTE"
6496552,map16-uu-ultrasonic-live-4G,860548047916868,8942310220000886824F,30,"2021-01-26 08:15:30","2021-01-26 08:15:12",4967,3.63,17,"FDD LTE"
6496575,map16-uu-ultrasonic-live-4G,860548046675879,8942310220000538466F,23,"2021-01-26 08:15:45","2021-01-26 08:01:27",1732,3.63,4,HSPA+
6496576,map16-uu-ultrasonic-live-4G,860548046675879,8942310220000538466F,24,"2021-01-26 08:15:45","2021-01-26 08:03:27",1748,3.63,4,HSPA+
6496577,map16-uu-ultrasonic-live-4G,860548046675879,8942310220000538466F,25,"2021-01-26 08:15:45","2021-01-26 08:05:27",1724,3.63,4,HSPA+
6496578,map16-uu-ultrasonic-live-4G,860548046675879,8942310220000538466F,26,"2021-01-26 08:15:45","2021-01-26 08:07:27",1727,3.63,4,HSPA+
6496579,map16-uu-ultrasonic-live-4G,860548046675879,8942310220000538466F,27,"2021-01-26 08:15:45","2021-01-26 08:09:27",1728,3.63,4,HSPA+
6496580,map16-uu-ultrasonic-live-4G,860548046675879,8942310220000538466F,28,"2021-01-26 08:15:45","2021-01-26 08:11:27",1722,3.63,4,HSPA+
6496581,map16-uu-ultrasonic-live-4G,860548046675879,8942310220000538466F,29,"2021-01-26 08:15:45","2021-01-26 08:13:27",1722,3.63,4,HSPA+
6496582,map16-uu-ultrasonic-live-4G,860548046675879,8942310220000538466F,30,"2021-01-26 08:15:45","2021-01-26 08:15:27",1749,3.63,4,HSPA+
6496605,map16-uu-ultrasonic-live-4G,860548047917148,8942310220000538060F,23,"2021-01-26 08:16:38","2021-01-26 08:02:20",4944,3.64,26,"FDD LTE"
6496606,map16-uu-ultrasonic-live-4G,860548047917148,8942310220000538060F,24,"2021-01-26 08:16:38","2021-01-26 08:04:20",4948,3.64,26,"FDD LTE"
6496607,map16-uu-ultrasonic-live-4G,860548047917148,8942310220000538060F,25,"2021-01-26 08:16:38","2021-01-26 08:06:20",4943,3.64,26,"FDD LTE"
6496608,map16-uu-ultrasonic-live-4G,860548047917148,8942310220000538060F,26,"2021-01-26 08:16:38","2021-01-26 08:08:20",4947,3.64,26,"FDD LTE"
6496609,map16-uu-ultrasonic-live-4G,860548047917148,8942310220000538060F,27,"2021-01-26 08:16:38","2021-01-26 08:10:20",1011,3.64,26,"FDD LTE"
6496610,map16-uu-ultrasonic-live-4G,860548047917148,8942310220000538060F,28,"2021-01-26 08:16:38","2021-01-26 08:12:20",4947,3.64,26,"FDD LTE"
6496611,map16-uu-ultrasonic-live-4G,860548047917148,8942310220000538060F,29,"2021-01-26 08:16:38","2021-01-26 08:14:20",4944,3.64,26,"FDD LTE"
6496612,map16-uu-ultrasonic-live-4G,860548047917148,8942310220000538060F,30,"2021-01-26 08:16:38","2021-01-26 08:16:20",4946,3.64,26,"FDD LTE"
6496634,map16-uu-ultrasonic-live-4G,860548047917007,8942310220000886964F,22,"2021-01-26 08:17:32","2021-01-26 08:01:14",594,3.65,5,WCDMATE
6496635,map16-uu-ultrasonic-live-4G,860548047917007,8942310220000886964F,23,"2021-01-26 08:17:32","2021-01-26 08:03:14",595,3.65,5,WCDMATE
6496636,map16-uu-ultrasonic-live-4G,860548047917007,8942310220000886964F,24,"2021-01-26 08:17:32","2021-01-26 08:05:14",587,3.65,5,WCDMATE
6496637,map16-uu-ultrasonic-live-4G,860548047917007,8942310220000886964F,25,"2021-01-26 08:17:32","2021-01-26 08:07:14",592,3.65,5,WCDMATE
6496638,map16-uu-ultrasonic-live-4G,860548047917007,8942310220000886964F,26,"2021-01-26 08:17:32","2021-01-26 08:09:14",593,3.65,5,WCDMATE
6496639,map16-uu-ultrasonic-live-4G,860548047917007,8942310220000886964F,27,"2021-01-26 08:17:32","2021-01-26 08:11:14",596,3.65,5,WCDMATE
6496640,map16-uu-ultrasonic-live-4G,860548047917007,8942310220000886964F,28,"2021-01-26 08:17:32","2021-01-26 08:13:14",592,3.65,5,WCDMATE
6496641,map16-uu-ultrasonic-live-4G,860548047917007,8942310220000886964F,29,"2021-01-26 08:17:32","2021-01-26 08:15:14",591,3.65,5,WCDMATE
